filter_output;filtfilt_output
0.0053767;0.043551274
0.023742901;0.043273184
0.0012091;0.035474371
0.0099128;0.035960894
0.013209801;0.036957417
0.000269601;0.039636374
-0.0039023;0.046402037
-0.0002847;0.054043081
0.035717998;0.064208932
0.058281705;0.067949139
0.026690003;0.068097159
0.079873711;0.074196041
0.078752108;0.072637737
0.075179897;0.069283299
0.095650308;0.067090973
0.098182604;0.063791707
0.093760997;0.060957663
0.073120005;0.059749223
0.059761997;0.059866674
0.087678805;0.059632055
0.064290605;0.055507045
0.045207705;0.052286685
0.053256702;0.053095102
0.062657602;0.051258925
0.069842197;0.045897227
0.081676595;0.038721424
0.074294508;0.026675034
0.057415806;0.016459253
0.046428703;0.009029953
0.032087006;0.0022096
0.053291902;-0.000370879
0.034894899;-0.00693457
0.009040602;-0.009787468
-0.0019158;-0.008401239
-0.038787294;-0.003964389
-0.027863301;0.008243021
-0.016877199;0.017881041
-0.021774799;0.026891481
0.006282198;0.037808012
-0.012345001;0.046002522
0.006365902;0.059690814
0.022902902;0.073545799
0.0424527;0.085951157
0.083286799;0.096985944
0.068516903;0.103236616
0.073227204;0.111541919
0.087390497;0.120225668
0.088227309;0.130016863
0.1245379;0.139153287
0.144915804;0.144763038
0.146956414;0.147826388
0.152800605;0.153492957
0.145793498;0.158234984
0.151569992;0.165750653
0.160064697;0.175180972
0.185302496;0.185695559
0.179591492;0.194524214
0.180635303;0.205605835
0.175549418;0.21554637
0.203622207;0.226305053
0.200220704;0.232720196
0.220950201;0.243374035
0.245873198;0.251582175
0.265210509;0.257585377
0.273589015;0.260270029
0.290407717;0.261185795
0.280040711;0.259109855
0.283136308;0.257517308
0.267773509;0.254108816
0.306759089;0.252960145
0.303031683;0.244558811
0.305905282;0.236123502
0.292056918;0.227245763
0.282746583;0.219410613
0.269648403;0.210989445
0.264115125;0.205404326
0.249051601;0.200144082
0.256286681;0.197682917
0.222745702;0.194018885
0.218678504;0.192816317
0.217128113;0.191605926
0.213705391;0.187139153
0.198534697;0.18074885
0.213797405;0.174956411
0.2115127;0.165945977
0.224440008;0.159727722
0.219646215;0.150026947
0.210720092;0.139331535
0.206574604;0.128863662
0.172460318;0.115835398
0.149802312;0.106119178
0.140610307;0.097195737
0.123693205;0.089100741
0.149330109;0.08026088
0.127432302;0.065545671
0.112692006;0.05231633
0.106041498;0.039940901
0.076291904;0.027066343
0.075298004;0.01903335
0.060568001;0.011811672
0.059660301;0.009193111
0.0352947;0.00534434
0.002178001;0.00248529
-0.004861101;0.001891681
-0.0110623;0.00388452
-0.022704098;0.00510523
-0.004038;0.009034821
0.0030812;0.010715311
0.034382399;0.012364632
0.0211726;0.007194462
0.006704201;0.003325112
-0.003758099;0.001816532
0.015067303;0.005085192
0.001144801;0.005925351
0.016591802;0.0105923
0.012766903;0.011678841
0.019574402;0.01253862
-0.017319299;0.01099191
-0.017520899;0.016177319
-0.0083816;0.021286139
0.0289285;0.027373839
0.023468899;0.024754131
0.047814298;0.021484729
0.0274572;0.01356165
0.0213647;0.007138821
0.0041073;0.002285251
0.034534801;-0.000304709
0.033567302;-0.007018949
0.052495401;-0.01470883
0.0027314;-0.023882151
-0.009225098;-0.025693661
-0.031416498;-0.026271312
-0.036771104;-0.023799922
-0.027171001;-0.019494591
-0.0217923;-0.018424042
-0.032607604;-0.018475581
-0.0433315;-0.01832702
-0.039237805;-0.016768182
-0.015383702;-0.017919181
-0.015001602;-0.022355899
-0.006702601;-0.028550981
0.0062822;-0.034651201
-0.016465498;-0.041544523
-0.0223077;-0.044969663
-0.031121999;-0.048356581
-0.027743101;-0.05188584
-0.050747804;-0.055072166
-0.0597509;-0.056512028
-0.076952405;-0.059069827
-0.067704804;-0.058650844
-0.062651001;-0.062703088
-0.050716899;-0.070727266
-0.056176901;-0.082576051
-0.066414602;-0.096272275
-0.059606403;-0.110069782
-0.065146402;-0.123066671
-0.085328899;-0.132969528
-0.072762504;-0.138303578
-0.108227208;-0.145197064
-0.142892808;-0.146101862
-0.169204801;-0.139267534
-0.193139106;-0.124079533
-0.204389602;-0.102344893
-0.1895753;-0.076057665
-0.164175004;-0.050589684
-0.138669312;-0.024346426
-0.141697302;0.004067378
-0.117275298;0.039130073
-0.074549496;0.077123031
-0.017324898;0.115840927
0.024207205;0.152206093
0.058482703;0.191249356
0.065104604;0.232470527
0.098257586;0.279570937
0.145468712;0.326811105
0.208929613;0.373241216
0.262654305;0.418063641
0.312629491;0.463320225
0.346326679;0.505664408
0.41463986;0.548511267
0.470694482;0.585209668
0.536108613;0.617230356
0.570659339;0.640442431
0.609769702;0.65796268
0.657153606;0.667485118
0.715220273;0.666369855
0.736071348;0.651839793
0.774795353;0.630548
0.7816239;0.599029779
0.790901124;0.560015261
0.768229127;0.513310671
0.745862246;0.463073403
0.704993606;0.408853352
0.646001279;0.351373166
0.569919884;0.29409802
0.523153543;0.23806642
0.459613293;0.179400295
0.391477674;0.119456105
0.323855788;0.059499606
0.265856594;-0.001046805
0.203661606;-0.063201174
0.130191609;-0.126085654
0.073250011;-0.18774572
0.009604298;-0.248164326
-0.063508011;-0.307152003
-0.139828712;-0.361763537
-0.208087206;-0.410851598
-0.281608284;-0.453996003
-0.355686992;-0.487050951
-0.425183237;-0.509386837
-0.486409009;-0.518239439
-0.530936122;-0.514394045
-0.580272436;-0.502549887
-0.609623313;-0.477000564
-0.63070935;-0.440505296
-0.639531612;-0.395823956
-0.612157702;-0.345694512
-0.579046249;-0.294354349
-0.513708711;-0.242704034
-0.447955132;-0.196035504
-0.4124946;-0.153845862
-0.324779093;-0.112283282
-0.244670421;-0.079989769
-0.183895811;-0.058175731
-0.138237298;-0.043140728
-0.098756202;-0.031889774
-0.062542804;-0.02463335
-0.047023602;-0.021146139
-0.0260587;-0.01945769
0.003131099;-0.022616979
-0.001843999;-0.02957892
-0.026529999;-0.035176031
-0.0335458;-0.0381038
-0.0257277;-0.038431533
-0.026192002;-0.038432881
-0.027670698;-0.037892222
-0.030139098;-0.036683902
-0.057651594;-0.036789499
-0.066488303;-0.031182453
-0.057815101;-0.022614012
-0.055807702;-0.016040232
-0.036823101;-0.00854235
-0.025741201;-0.004594069
-0.020785401;-0.00211835
-0.015587501;0.0001399
-0.031195099;0.002139061
-0.001581101;0.006907992
0.019196101;0.008580372
0.0079227;0.008611541
0.0191711;0.00743012
0.002659702;0.0073287
-0.000983998;0.00996692
0.001797101;0.01401715
0.004404102;0.015909519
0.016494201;0.016541529
0.015142701;0.01607604
0.019507799;0.016421631
-0.003891502;0.012653579
0.018156899;0.01397221
0.029041899;0.009660469
0.0395183;0.004005618
0.020720799;-0.003027814
0.010724196;-0.006173503
0.011839296;-0.006630103
0.018598597;-0.005897311
-0.018172706;-0.006897311
0.0092948;-0.00227616
-0.024960505;-0.00180101
-0.027506605;0.00200749
-0.030816002;0.006946
-0.0107361;0.011579901
0.006158198;0.013840601
0.0191672;0.014257122
0.008598601;0.012978012
0.0280388;0.013773631
0.014046303;0.013635192
0.013124501;0.016786933
0.021878501;0.021609161
0.015523002;0.023957562
0.0118709;0.02630667
0.010323403;0.03028477
0.0063761;0.031911429
0.016554801;0.033330541
0.0266544;0.031449504
0.045563698;0.028345509
0.061346799;0.023299279
0.045362499;0.016452907
0.039014097;0.01184126
0.051651902;0.00604648
0.026589997;-0.001606252
0.020567199;-0.007316632
-0.002255601;-0.014702782
-0.004385502;-0.017761111
-0.004898602;-0.02255867
-0.007116901;-0.027738392
-0.000754001;-0.032003712
-0.018933702;-0.035959993
-0.024875402;-0.03628641
-0.030513801;-0.036133688
-0.053294301;-0.033107299
-0.032838903;-0.024640752
-0.052361101;-0.017746752
-0.0566958;-0.007037402
-0.049770102;0.00357876
-0.040316802;0.01269494
-0.022197898;0.02103259
-0.023348199;0.026185479
-0.0002499;0.03060193
0.031371199;0.031482678
0.036101099;0.02818088
0.054732401;0.024749698
0.049465802;0.01965718
0.041391701;0.014525129
0.043059699;0.0102363
0.029330999;0.005312469
0.020816298;0.00399585
0.008557599;0.00473965
-0.001646801;0.008782391
0.0017893;0.01370074
0.003807199;0.017852511
-0.001854701;0.01924721
-0.001496599;0.023770941
-0.006178599;0.028503381
0.016164798;0.03276569
0.0282543;0.03523412
0.048985004;0.035165671
0.047536701;0.033005901
0.043306999;0.031762801
0.017754199;0.033699822
0.0433826;0.041865222
0.045827799;0.044228081
0.036444504;0.047819383
0.040849105;0.052557264
0.027569801;0.057256114
0.027387299;0.065278493
0.035105702;0.074490257
0.062677212;0.08362034
0.099408202;0.089794323
0.0670112;0.091078356
0.081740811;0.098829038
0.083823308;0.105732687
0.087837607;0.114313968
0.107793614;0.123942912
0.119504914;0.131958708
0.126406506;0.137405664
0.124417096;0.140674859
0.112248503;0.144380569
0.144517913;0.149045363
0.1507774;0.150035441
0.169636101;0.149984896
0.184127092;0.147674352
0.18795149;0.141726494
0.173974499;0.134202734
0.159098506;0.12833339
0.161474198;0.126833424
0.158896491;0.121973954
0.154418603;0.118358903
0.150272012;0.114994362
0.146530718;0.110844903
0.124648519;0.105496459
0.112713814;0.102554284
0.115281016;0.100784048
0.144098908;0.097010054
0.112879395;0.088664949
0.122746006;0.083077766
0.120773196;0.075222455
0.108777501;0.067189485
0.0930463;0.059282761
0.095226698;0.053315334
0.095011503;0.047361523
0.077541001;0.039277524
0.060647801;0.035043404
0.057007603;0.034328341
0.044193;0.035356455
0.040443502;0.037041955
0.029710202;0.038792271
0.033372004;0.041082039
0.035688601;0.044769213
0.014171502;0.048449475
0.035199806;0.056575425
0.053497199;0.060394112
0.067288704;0.060022626
0.061047997;0.056535043
0.057946697;0.053493258
0.052607898;0.049617022
0.070243701;0.046175625
0.072491199;0.038111396
0.095431;0.028599169
0.073386699;0.01423412
0.049782403;0.003484339
0.032412801;-0.005415402
0.030630199;-0.011393363
0.019184299;-0.016684633
0.018193901;-0.019839652
-0.010398601;-0.023425663
-0.022630999;-0.024336582
-0.048219506;-0.024333993
-0.034111105;-0.020036673
-0.039215006;-0.016701693
-0.027366802;-0.013093051
-0.022282504;-0.010163341
-0.012365902;-0.00758471
-0.0176662;-0.00535826
-0.019507799;-0.001023989
-0.022605101;0.003833671
-0.0052463;0.007950511
-0.000761299;0.010369232
-0.003128599;0.012029261
0.001930303;0.013923392
0.0035038;0.013509291
0.009898602;0.012153782
0.025676502;0.007888081
0.029068802;0.001424631
0.018563302;-0.004901969
0.018940901;-0.008650779
0.015839001;-0.01265662
0.015812702;-0.01655948
-0.002210699;-0.020057799
-0.010051299;-0.019398969
-0.0327584;-0.017335419
-0.038957998;-0.010100081
-0.0341972;-0.00247489
-0.018924799;0.005381511
-0.021117501;0.011404581
-0.023189602;0.018310841
-0.0191705;0.025406903
0.004377603;0.029805712
0.010584202;0.028708654
0.039595;0.025237901
0.037293904;0.017463421
0.044366803;0.012112373
0.041305903;0.005200671
0.047945101;-0.00033237
0.047771003;-0.006583931
0.024817601;-0.014463641
-0.006593001;-0.01746452
-0.0241233;-0.01674919
-0.038149796;-0.011323551
-0.016216602;-0.00492967
-0.024750203;-0.00056331
-0.014024502;0.004558159
-0.014570502;0.008384169
-0.031026103;0.011656449
-0.0051912;0.01560396
0.000560299;0.015588379
0.0301331;0.016362051
0.025789;0.012607279
0.027447;0.008200759
0.0264645;0.00136606
0.024235599;-0.00469581
0.0181523;-0.012117241
0.008448999;-0.017892599
-0.005347;-0.021316379
0.008297;-0.02056957
-0.007414599;-0.022879541
-0.018276203;-0.023364272
-0.040899999;-0.02316514
-0.034154199;-0.020800881
-0.0499787;-0.01995397
-0.039601296;-0.016130252
-0.025788799;-0.013377091
0.002121099;-0.011063981
-0.014802701;-0.013723792
-0.012261901;-0.012795862
-0.016284902;-0.011522312
-0.017257404;-0.008205221
