[key]; [value]
Version; 0x03050000
Name; Application.Sine_Trace
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MainTask
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 201
Flags; 16
0.Variable; PLC_PRG.Sine_FilterInput
0.Address.AddrFlags; 0x00000000
0.Class; 14
0.Size; 4
0.GraphColor; 4285563024
0.GraphType; 4
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 2; 0
; 12; 0
; 22; 0
; 32; 0
; 42; 0
; 52; 0
; 62; 0
; 72; 0
; 82; 0
; 92; 0
; 102; 0
; 112; 0
; 122; 0
; 132; 0
; 142; 0
; 152; 0
; 162; 0
; 172; 0
; 182; 0
; 192; 0
; 202; 0
; 212; 0
; 222; 0
; 232; 0
; 242; 0
; 252; 0
; 262; 0
; 272; 0
; 282; 0
; 292; 0
; 302; 0
; 312; 0
; 322; 0
; 332; 0
; 342; 0
; 352; 0
; 362; 0
; 372; 0
; 382; 0
; 392; 0
; 402; 0
; 412; 0
; 422; 0
; 432; 0
; 442; 0
; 452; 0
; 462; 0
; 472; 0
; 482; 0
; 492; 0
; 502; 0
; 512; 0
; 522; 0
; 532; 0
; 542; 0
; 552; 0
; 562; 0
; 572; 0
; 582; 0
; 592; 0
; 602; 0
; 612; 0
; 622; 0
; 632; 0
; 642; 0
; 652; 0
; 662; 0
; 672; 0
; 682; 0
; 692; 0
; 702; 0
; 712; 0
; 722; 0
; 732; 0
; 742; 0
; 752; 0
; 762; 0
; 772; 0
; 782; 0
; 792; 0
; 802; 0
; 812; 0
; 822; 0
; 832; 0
; 842; 0
; 852; 0
; 862; 0
; 872; 0
; 882; 0
; 892; 0
; 902; 0
; 912; 0
; 922; 0
; 932; 0
; 942; 0
; 952; 0
; 962; 0
; 972; 0
; 982; 0
; 992; 0
; 1002; 0
; 1012; 0
; 1022; 0
; 1032; 0
; 1042; 0
; 1052; 0
; 1062; 0
; 1072; 0
; 1082; 0
; 1092; 0
; 1102; 0
; 1112; 0
; 1122; 0
; 1132; 0
; 1142; 0
; 1152; 0
; 1162; 0
; 1172; 0
; 1182; 0
; 1192; 0
; 1202; 0
; 1212; 0
; 1222; 0
; 1232; 0
; 1242; 0
; 1252; 0
; 1262; 0
; 1272; 0
; 1282; 0
; 1292; 0
; 1302; 0
; 1312; 0
; 1322; 0
; 1332; 0
; 1342; 0
; 1352; 0
; 1363; -0.0432559996843338
; 1373; -0.10379999876022339
; 1383; 0.13780300319194794
; 1393; 0.2160550057888031
; 1403; 0.13391900062561035
; 1413; 0.42795699834823608
; 1423; 0.48686298727989197
; 1433; 0.42181399464607239
; 1443; 0.51425999402999878
; 1453; 0.55304902791976929
; 1463; 0.56885701417922974
; 1473; 0.70973300933837891
; 1483; 0.62543702125549316
; 1493; 0.94700402021408081
; 1503; 0.75658899545669556
; 1513; 0.82012897729873657
; 1523; 0.95073199272155762
; 1533; 0.8819739818572998
; 1543; 0.89501798152923584
; 1553; 0.84631901979446411
; 1563; 0.980301022529602
; 1573; 0.83479797840118408
; 1583; 1.0535880327224731
; 1593; 1.1543790102005005
; 1603; 0.92880100011825562
; 1613; 1.085798978805542
; 1624; 1.1234790086746216
; 1634; 0.83284902572631836
; 1644; 0.83835798501968384
; 1654; 1.025926947593689
; 1664; 0.91136300563812256
; 1674; 0.99913901090621948
; 1684; 0.98682302236557007
; 1694; 0.94800299406051636
; 1704; 0.97393298149108887
; 1714; 0.87653201818466187
; 1724; 0.890326976776123
; 1734; 0.60952901840209961
; 1744; 0.68344998359680176
; 1754; 0.62270897626876831
; 1765; 0.42840701341629028
; 1775; 0.56265902519226074
; 1785; 0.37727800011634827
; 1795; 0.56853199005126953
; 1805; 0.28891798853874207
; 1815; 0.36325401067733765
; 1825; 0.272040992975235
; 1835; 0.0966619998216629
; 1845; -0.090217001736164093
; 1855; 0.058428999036550522
; 1865; -0.099471002817153931
; 1875; 0.00027700001373887062
; 1885; -0.072916001081466675
; 1895; -0.01648000068962574
; 1905; -0.18789499998092651
; 1915; -0.37171000242233276
; 1925; -0.32843199372291565
; 1935; -0.52504700422286987
; 1945; -0.48208498954772949
; 1955; -0.53906100988388062
; 1965; -0.58623397350311279
; 1975; -0.66771197319030762
; 1985; -0.573606014251709
; 1995; -0.91499197483062744
; 2005; -0.72639399766922
; 2015; -0.71823400259017944
; 2025; -0.77010399103164673
; 2035; -0.81749099493026733
; 2045; -0.89987099170684814
; 2055; -0.86125600337982178
; 2065; -0.8934749960899353
; 2075; -0.99358302354812622
; 2085; -1.0196019411087036
; 2095; -1.0214090347290039
; 2105; -1.1453889608383179
; 2115; -1.0233980417251587
; 2125; -0.98633098602294922
; 2135; -0.9609379768371582
; 2145; -0.83839899301528931
; 2155; -1.004302978515625
; 2165; -0.88951700925827026
; 2175; -0.8508179783821106
; 2185; -0.81184697151184082
; 2195; -0.97678601741790771
; 2205; -0.824554979801178
; 2215; -0.78681701421737671
; 2225; -0.87303298711776733
; 2235; -0.80506700277328491
; 2245; -0.578357994556427
; 2255; -0.6527559757232666
; 2265; -0.551114022731781
; 2276; -0.52947300672531128
; 2285; -0.54786598682403564
; 2295; -0.48441499471664429
; 2305; -0.326541006565094
; 2315; -0.40688401460647583
; 2325; -0.17353199422359467
; 2335; -0.13351899385452271
; 2345; -0.21060100197792053
; 2355; -0.092497996985912323
; 2365; -0.12196300178766251
; 2375; -0.16065299510955811
; 2385; 0.22074300050735474
; 2395; 0.13229399919509888
; 2405; 0.27821698784828186
; 2415; 0.32923999428749084
; 2425; 0.36713001132011414
; 2435; 0.32229799032211304
; 2445; 0.38402199745178223
; 2455; 0.4954490065574646
; 2465; 0.4663580060005188
; 2475; 0.529105007648468
; 2485; 0.82919001579284668
; 2496; 0.73207402229309082
; 2506; 0.64646202325820923
; 2516; 0.80273598432540894
; 2527; 0.72950798273086548
; 2537; 0.73957699537277222
; 2547; 0.87711000442504883
; 2557; 1.0237209796905518
; 2567; 0.96273297071456909
; 2577; 1.0332640409469604
; 2587; 0.86476999521255493
; 2597; 0.94555598497390747
; 2607; 0.97152698040008545
; 2617; 0.87867701053619385
; 2627; 0.86632698774337769
; 2637; 1.0857349634170532
; 2647; 0.98416799306869507
; 2657; 0.90508198738098145
; 2667; 1.0329010486602783
; 2677; 0.95446699857711792
; 2687; 0.80763298273086548
; 2697; 1.0122979879379272
; 2707; 0.87555801868438721
; 2717; 0.95942902565002441
; 2727; 0.88707000017166138
; 2737; 0.66353499889373779
; 2747; 0.558551013469696
; 2757; 0.63353699445724487
; 2767; 0.55832701921463013
; 2777; 0.455251008272171
; 2787; 0.535489022731781
; 2797; 0.57874500751495361
; 2807; 0.31773799657821655
; 2817; 0.22873100638389587
; 2827; 0.2285580039024353
; 2837; 0.25828099250793457
; 2847; 0.044589001685380936
; 2857; -0.052604999393224716
; 2867; -0.0072090001776814461
; 2877; -0.064519003033638
; 2887; -0.071998998522758484
; 2897; -0.242140993475914
; 2907; -0.25890201330184937
; 2917; -0.34779301285743713
; 2927; -0.37143298983573914
; 2937; -0.26773399114608765
; 2947; -0.53798598051071167
; 2957; -0.66627997159957886
; 2967; -0.53671598434448242
