index;wform;noise;wform_noisy;y_filtfilt;y_filter
1;0.0000000000;-0.0432564812;-0.0432564812;-0.0432184501;-0.0000896000
2;0.0627587293;-0.1665584378;-0.1037997085;0.0024867402;-0.0011183990
3;0.1252700295;0.0125332307;0.1378032602;0.0660458778;-0.0059392707
4;0.1872874471;0.0287676420;0.2160550892;0.1551934067;-0.0169169630
5;0.2485664758;-0.1146471351;0.1339193407;0.2623057671;-0.0242791259
6;0.3088655201;0.1190915466;0.4279570667;0.3665851164;0.0016512222
7;0.3679468485;0.1189164202;0.4868632687;0.4444587440;0.0865524654
8;0.4255775303;-0.0037633277;0.4218142027;0.4854919890;0.2122944583
9;0.4815303540;0.0327292361;0.5142595901;0.5034417148;0.3266013154
10;0.5355847230;0.0174639143;0.5530486373;0.5292820996;0.4028111346
11;0.5875275257;-0.0186708578;0.5688566679;0.5861793235;0.4578706557
12;0.6371539753;0.0725790548;0.7097330301;0.6678012561;0.5057620408
13;0.6842684172;-0.0588316543;0.6254367629;0.7447322541;0.5385336067
14;0.7286851009;0.2183185818;0.9470036827;0.7955307783;0.5627790477
15;0.7702289114;-0.0136395883;0.7565893231;0.8270212863;0.6083605410
16;0.8087360606;0.0113931314;0.8201291919;0.8581219227;0.6862943814
17;0.8440547322;0.1066768211;0.9507315533;0.8894393114;0.7704477600
18;0.8760456809;0.0059281461;0.8819738269;0.9026073585;0.8294085459
19;0.9045827809;-0.0095648405;0.8950179404;0.8915611915;0.8562626436
20;0.9295535236;-0.0832349464;0.8463185772;0.8797146866;0.8671074085
21;0.9508594605;0.0294410816;0.9803005421;0.8964223618;0.8814874914
22;0.9684165922;-0.1336181858;0.8347984064;0.9455732194;0.9007463692
23;0.9821556988;0.0714324552;1.0535881540;1.0069234540;0.9083009068
24;0.9920226134;0.1623562064;1.1543788200;1.0581967160;0.9007184922
25;0.9979784351;-0.0691775702;0.9288008649;1.0820469700;0.9056361895
26;0.9999996829;0.0857996673;1.0857993500;1.0621636230;0.9513010055
27;0.9980783880;0.1254001422;1.1234785300;0.9977786147;1.0256550990
28;0.9922221251;-0.1593729576;0.8328491675;0.9238790722;1.0804876640
29;0.9824539828;-0.1440964432;0.8383575396;0.8921620630;1.0794045270
30;0.9688124724;0.0571147624;1.0259272350;0.9187898424;1.0333021380
31;0.9513513762;-0.0399885578;0.9113628185;0.9662876019;0.9774683158
32;0.9301395354;0.0689997376;0.9991392729;0.9891395433;0.9293062511
33;0.9052605785;0.0815622289;0.9868228073;0.9821935381;0.8967954418
34;0.8768125919;0.0711908324;0.9480034242;0.9679282154;0.9036229412
35;0.8449077330;0.1290249755;0.9739327085;0.9498460442;0.9563442773
36;0.8096717883;0.0668600506;0.8765318388;0.9044606621;1.0072255400
37;0.7712436769;0.1190838074;0.8903274843;0.8194578085;1.0024728130
38;0.7297749033;-0.1202457115;0.6095291918;0.7170739256;0.9516581292
39;0.6854289601;-0.0019789558;0.6834500043;0.6302382340;0.9031162204
40;0.6383806830;-0.0156717299;0.6227089531;0.5696117386;0.8648984771
41;0.5888155620;-0.1604085562;0.4284070058;0.5247769887;0.7981213217
42;0.5369290097;0.0257304235;0.5626594331;0.4877219458;0.6893824155
43;0.4829255911;-0.1056472928;0.3772782983;0.4604081308;0.5842526896
44;0.4270182172;0.1415141486;0.5685323658;0.4397771806;0.5279168407
45;0.3694273051;-0.0805090404;0.2889182647;0.4068160199;0.5070886052
46;0.3103799097;0.0528743011;0.3632542108;0.3379589937;0.4814970774
47;0.2501088277;0.0219320673;0.2720408950;0.2278810480;0.4437745789
48;0.1888516808;-0.0921901624;0.0966615183;0.1005000919;0.4093233302
49;0.1268499777;-0.2170674494;-0.0902174717;-0.0030355347;0.3692671603
50;0.0643481631;-0.0059187825;0.0584293806;-0.0512793290;0.2957472390
51;0.0015926529;-0.1010633706;-0.0994707177;-0.0452239888;0.1841480891
52;-0.0611691363;0.0614463049;0.0002771686;-0.0200675390;0.0623941547
53;-0.1236897635;0.0507740785;-0.0729156850;-0.0227801458;-0.0315913394
54;-0.1857227384;0.1692429870;-0.0164797514;-0.0805206379;-0.0706717400
55;-0.2470234933;0.0591282587;-0.1878952346;-0.1847446032;-0.0577236284
56;-0.3073503471;-0.0643595203;-0.3717098673;-0.3032414866;-0.0328507856
57;-0.3664654586;0.0380337252;-0.3284317335;-0.4052246254;-0.0447145109
58;-0.4241357640;-0.1009115524;-0.5250473164;-0.4753344701;-0.1128209098
59;-0.4801338954;-0.0019510670;-0.4820849624;-0.5135746186;-0.2236654444
60;-0.5342390778;-0.0048220789;-0.5390611567;-0.5350396929;-0.3476502480
61;-0.5862379992;0.0000043200;-0.5862336800;-0.5676458407;-0.4504440951
62;-0.6359256514;-0.0317859451;-0.6677115965;-0.6317264523;-0.5092814932
63;-0.6831061388;0.1095003739;-0.5736057649;-0.7125036016;-0.5332487968
64;-0.7275934501;-0.1873990258;-0.9149924759;-0.7664290431;-0.5557963092
65;-0.7692121922;0.0428183273;-0.7263938649;-0.7693252213;-0.5998218365
66;-0.8077982814;0.0895638471;-0.7182344343;-0.7499939550;-0.6601628607
67;-0.8431995904;0.0730957338;-0.7701038565;-0.7595705058;-0.7206985444
68;-0.8752765478;0.0577857346;-0.8174908132;-0.8112995347;-0.7690107373
69;-0.9039026889;0.0040314032;-0.8998712858;-0.8691146126;-0.7909027768
70;-0.9289651539;0.0677089188;-0.8612562351;-0.8987313085;-0.7810225096
71;-0.9503651329;0.0568900205;-0.8934751124;-0.9119194987;-0.7699644649
72;-0.9680182555;-0.0255645416;-0.9935827971;-0.9473174248;-0.8033890469
73;-0.9818549235;-0.0377468956;-1.0196018190;-1.0157540800;-0.8774057048
74;-0.9918205853;-0.0295887110;-1.0214092960;-1.0799825000;-0.9357320125
75;-0.9978759508;-0.1475134506;-1.1453894010;-1.0924651090;-0.9509931748
76;-0.9999971464;-0.0234004048;-1.0233975510;-1.0458235340;-0.9641897183
77;-0.9981758092;0.0118444837;-0.9863313255;-0.9790445577;-1.0158650980
78;-0.9924191200;0.0314809043;-0.9609382157;-0.9354484386;-1.0787274660
79;-0.9827497747;0.1443508244;-0.8383989503;-0.9225181774;-1.0931297300
80;-0.9692058952;-0.0350974738;-1.0043033690;-0.9168087177;-1.0430225750
81;-0.9518408788;0.0623233851;-0.8895174937;-0.8998118196;-0.9673483771
82;-0.9307231878;0.0799048618;-0.8508183260;-0.8770185516;-0.9128652092
83;-0.9059360797;0.0940889941;-0.8118470857;-0.8632332194;-0.8971644283
84;-0.8775772788;-0.0992091736;-0.9767864523;-0.8621794766;-0.9051523398
85;-0.8457585907;0.0212035152;-0.8245550755;-0.8645467797;-0.9053451956
86;-0.8106054622;0.0237882073;-0.7868172549;-0.8557928570;-0.8808327325
87;-0.7722564860;-0.1007763392;-0.8730328252;-0.8212302502;-0.8517685466
88;-0.7308628546;-0.0742044752;-0.8050673298;-0.7546079682;-0.8480680577
89;-0.6865877643;0.1082294953;-0.5783582689;-0.6703589622;-0.8594296866
90;-0.6396057714;-0.0131499703;-0.6527557417;-0.5991938693;-0.8449232735
91;-0.5901021047;0.0389880490;-0.5511140557;-0.5610029204;-0.7907914924
92;-0.5382719344;0.0087987107;-0.5294732237;-0.5450226465;-0.7197084901
93;-0.4843196033;-0.0635465226;-0.5478661259;-0.5227537043;-0.6489450595
94;-0.4284578209;-0.0559573302;-0.4844151511;-0.4751453697;-0.5820839499
95;-0.3709068247;0.0443653490;-0.3265414757;-0.4012514712;-0.5329338691
96;-0.3118935120;-0.0949903799;-0.4068838918;-0.3103082354;-0.5134840815
97;-0.2516505453;0.0781181618;-0.1735323835;-0.2201213746;-0.5013084907
98;-0.1904154354;0.0568960646;-0.1335193708;-0.1581447779;-0.4551363829
99;-0.1284296042;-0.0821714292;-0.2106010333;-0.1424630205;-0.3657385624
100;-0.0659374336;-0.0265606851;-0.0924981187;-0.1527571525;-0.2664132498
101;-0.0031853018;-0.1187777016;-0.1219630034;-0.1349546638;-0.1916200230
102;0.0595793882;-0.2202320717;-0.1606526835;-0.0505354378;-0.1482581484
103;0.1221091838;0.0986337391;0.2207429229;0.0820274074;-0.1277272392
104;0.1841575586;-0.0518635066;0.1322940520;0.2055735323;-0.1176657296
105;0.2454798842;0.0327367564;0.2782166406;0.2812776342;-0.0925661502
106;0.3058343944;0.0234057013;0.3292400957;0.3166859572;-0.0183471193
107;0.3649831392;0.0021466139;0.3671297530;0.3398778676;0.1105537343
108;0.4226929218;-0.1003944467;0.3222984751;0.3644463681;0.2471060439
109;0.4787362190;-0.0947146065;0.3840216125;0.3909611059;0.3300421791
110;0.5328920775;-0.0374429195;0.4954491580;0.4300296708;0.3485792298
111;0.5849469856;-0.1185886214;0.4663583642;0.5016040997;0.3473260723
112;0.6346957145;-0.1055902924;0.5291054221;0.6054421080;0.3685262558
113;0.6819421275;0.1472479934;0.8291901210;0.7053444506;0.4159113259
114;0.7264999537;0.0055743832;0.7320743369;0.7558127896;0.4752906985
115;0.7681935219;-0.1217317454;0.6464617765;0.7459918409;0.5440883404
116;0.8068584533;-0.0041227134;0.8027357399;0.7141569277;0.6289553067
117;0.8423423097;-0.1128343864;0.7295079233;0.7174504093;0.7188542482
118;0.8745051945;-0.1349277543;0.7395774402;0.7840175739;0.7741640817
119;0.9032203041;-0.0261101623;0.8771101418;0.8888768981;0.7668017454
120;0.9283744279;0.0953465446;1.0237209720;0.9751617790;0.7300604931
121;0.9498683946;0.0128644430;0.9627328376;1.0028718830;0.7339570211
122;0.9676174634;0.0656467514;1.0332642150;0.9791150518;0.8066383417
123;0.9815516577;-0.1167819365;0.8647697213;0.9415984425;0.9105849817
124;0.9916160415;-0.0460605180;0.9455555235;0.9188964449;0.9910570800
125;0.9977709353;-0.0262439953;0.9715269400;0.9138336063;1.0171132760
126;0.9999920733;-0.1213152068;0.8786768665;0.9200425389;0.9877985743
127;0.9982706986;-0.1319436998;0.8663269987;0.9385551818;0.9329243624
128;0.9926135976;0.0931217515;1.0857353490;0.9699265912;0.8994103552
129;0.9830430739;0.0011244896;0.9841675636;0.9986108570;0.9084212806
130;0.9695968596;-0.0645145816;0.9050822780;0.9991628773;0.9358902107
131;0.9523279670;0.0805728793;1.0329008460;0.9636515985;0.9548381651
132;0.9313044795;0.0231626011;0.9544670806;0.9179331102;0.9709253909
133;0.9066092831;-0.0989759672;0.8076333159;0.9011015541;0.9911283344
134;0.8783397396;0.1339585701;1.0122983100;0.9235669256;0.9933973774
135;0.8466073031;0.0289502035;0.8755575066;0.9496213345;0.9612930156
136;0.8115370801;0.1478917058;0.9594287858;0.9282815477;0.9183560222
137;0.7732673363;0.1138028013;0.8870701376;0.8410444835;0.8996091152
138;0.7319489521;-0.0684138585;0.6635350936;0.7166565850;0.9097495525
139;0.6877448269;-0.1291936045;0.5585512224;0.6051424267;0.9220333535
140;0.6408292375;-0.0072926276;0.6335366098;0.5439062486;0.8994478473
141;0.5913871505;-0.0330598880;0.5583272626;0.5379693111;0.8161204623
142;0.5396134938;-0.0843627639;0.4552507298;0.5543798954;0.6841263109
143;0.4857123870;0.0497769664;0.5354893534;0.5396685010;0.5633130467
144;0.4298963378;0.1488490471;0.5787453849;0.4656662387;0.5138367305
145;0.3723854034;-0.0546475895;0.3177378139;0.3618090896;0.5279918515
146;0.3134063231;-0.0846758164;0.2287305067;0.2812939925;0.5394534217
147;0.2531916246;-0.0246336528;0.2285579718;0.2325138218;0.5048941541
148;0.1919787070;0.0663024146;0.2582811216;0.1725819883;0.4351173882
149;0.1300089048;-0.0854197375;0.0445891674;0.0791591465;0.3479616178
150;0.0675265369;-0.1201314815;-0.0526049446;-0.0073309607;0.2501021654
151;0.0047779426;-0.0119869428;-0.0072090002;-0.0428177054;0.1655689931
152;-0.0579894890;-0.0065294015;-0.0645188904;-0.0530235265;0.1160498141
153;-0.1205282944;0.0485295556;-0.0719987388;-0.1029985810;0.0736304236
154;-0.1825919117;-0.0595490903;-0.2421410020;-0.2025805935;-0.0013413619
155;-0.2439356524;-0.0149667744;-0.2589024268;-0.2906903253;-0.0849166758
156;-0.3043176660;-0.0434751931;-0.3477928592;-0.3233840668;-0.1238603213
157;-0.3634998939;-0.0079330223;-0.3714329162;-0.3342798295;-0.1346892852
158;-0.4212490074;0.1535152266;-0.2677337808;-0.3832890002;-0.1891154799
159;-0.4773373282;-0.0606482859;-0.5379856141;-0.4780603331;-0.2976213500
160;-0.5315437255;-0.1347362674;-0.6662799929;-0.5777749179;-0.3837309683
161;-0.5836544883;0.0469383120;-0.5367161763;-0.6510519901;-0.3983365714
162;-0.6334641676;-0.0903566943;-0.7238208619;-0.6940616607;-0.4000484807
163;-0.6807763865;0.0035879639;-0.6771884226;-0.7088147115;-0.4759077302
164;-0.7254046146;-0.0627531220;-0.7881577366;-0.7069378352;-0.6131277961
165;-0.7671729030;0.0535397954;-0.7136331076;-0.7279892986;-0.7103130349
166;-0.8059165785;0.0552883517;-0.7506282268;-0.8052928931;-0.7169037674
167;-0.8414828925;-0.0203690480;-0.8618519404;-0.9053998179;-0.6957845946
168;-0.8737316230;-0.2054324681;-1.0791640910;-0.9478893610;-0.7215510289
169;-0.9025356282;0.0132560731;-0.8892795551;-0.9069025169;-0.7832405640
170;-0.9277813470;0.1592940704;-0.7684872766;-0.8549285890;-0.8353779265
171;-0.9493692470;0.1018411789;-0.8475280681;-0.8768928083;-0.8812118111
172;-0.9672142169;-0.1580402499;-1.1252544670;-0.9703891389;-0.9342540591
173;-0.9812459022;-0.0078661919;-0.9891120941;-1.0628328780;-0.9523013221
174;-0.9914089823;-0.0681656860;-1.0595746680;-1.1021948710;-0.9051853774
175;-0.9976633889;-0.1024553057;-1.1001186950;-1.0928315120;-0.8700530838
176;-0.9999844637;-0.1234353478;-1.1234198110;-1.0597044240;-0.9454248352
177;-0.9983630557;0.0288807019;-0.9694823538;-1.0225913070;-1.0878364590
178;-0.9928055574;-0.0429303005;-1.0357358580;-1.0023858820;-1.1531686870
179;-0.9833338795;0.0055801190;-0.9777537605;-1.0090259560;-1.0977165400
180;-0.9699853646;-0.0367873567;-1.0067727210;-1.0139235110;-1.0215580210
181;-0.9528126396;-0.0464973367;-0.9993099763;-0.9715103045;-1.0055420840
182;-0.9318834088;0.0370960584;-0.8947873504;-0.8842479922;-1.0175252740
183;-0.9072801867;0.0728282932;-0.8344518936;-0.8146676171;-1.0026062190
184;-0.8790999726;0.2112160170;-0.6678839556;-0.8110150829;-0.9682460545
185;-0.8474538681;-0.1357297743;-0.9831836424;-0.8464183633;-0.9384418857
186;-0.8124666394;-0.1022610144;-0.9147276538;-0.8574231311;-0.8960054110
187;-0.7742762252;0.1037834199;-0.6704928053;-0.8218323951;-0.8272511237
188;-0.7330331929;-0.0389799549;-0.7720131478;-0.7664958684;-0.7797870067
189;-0.6889001450;-0.1381265624;-0.8270267074;-0.7102413439;-0.8050293872
190;-0.6420510780;0.0315542633;-0.6104968147;-0.6364187039;-0.8590558227
191;-0.5926706963;0.1553242569;-0.4373464395;-0.5283056877;-0.8417815142
192;-0.5409536844;0.0707893885;-0.4701642959;-0.4064055230;-0.7397257132
193;-0.4871039387;0.1957384755;-0.2913654632;-0.3167707231;-0.6388442920
194;-0.4313337643;0.0504542354;-0.3808795289;-0.2893956395;-0.5794382881
195;-0.3738630375;0.1864529020;-0.1874101355;-0.3105117700;-0.5040363592
196;-0.3149183393;-0.0339811777;-0.3488995170;-0.3299968845;-0.3826684264
197;-0.2547320616;-0.1139779402;-0.3687100019;-0.3000974841;-0.2836092323
198;-0.1935414916;-0.0211123483;-0.2146538400;-0.2171823704;-0.2686905864
199;-0.1315878758;0.1190244936;-0.0125633821;-0.1230587802;-0.3024107968
